,bad_word,severity
197,"('حثالة', 'سخرية')",7.0
198,"('معوق', 'سخرية')",9.0
199,"('بلع فمك', 'تهديد')",5.0
200,"('وي السلعا', 'تحرش')",7.0
201,"('نلحسهالك', 'تحرش')",10.0
202,"('ذري', 'سخرية')",10.0
203,"('106', 'سب')",7.5
204,"('نفركتلك الدار', 'تهديد')",9.0
205,"('نحكمك نهردك', 'تهديد')",9.0
206,"('قواد', 'سخرية')",9.0
207,"('تعلي', 'سب')",5.0
208,"('منحرف', 'سخرية')",5.0
209,"('بز', 'سخرية')",10.0
210,"('وليد الحرام', 'سب')",10.0
211,"('رباني', 'سب')",10.0
212,"('واش هاذ الماتريال', 'تحرش')",8.0
213,"('نيكلك يماك', 'تهديد')",7.0
214,"('نقش', 'سخرية')",8.0
215,"('ارواح نتقابضو', 'تهديد')",2.0
216,"('ن م', 'سب')",8.0
217,"('صامط', 'سخرية')",8.0
218,"('بينازة', 'سخرية')",6.0
219,"('مك', 'سب')",10.0
220,"('عطيني نيميروك', 'تحرش')",8.0
221,"('طلابة', 'سخرية')",9.0
222,"('متشرد', 'سخرية')",8.0
223,"('كلبة', 'سب')",8.0
224,"('صوصيالا', 'سخرية')",9.0
225,"('قاع كي داير نت', 'سخرية')",9.0
226,"('رهج', 'سب')",6.0
227,"('دنفة', 'سب')",3.0
228,"('نكتلك', 'تهديد')",9.0
229,"('حلوف', 'سب')",9.0
230,"('خرا', 'سخرية')",5.0
231,"('بابا عجينة', 'سخرية')",7.0
232,"('عاهرة', 'تحرش')",6.0
233,"('حتشون', 'سب')",10.0
234,"('قديم', 'سخرية')",4.0
235,"('صايي بزاف', 'تهديد')",1.0
236,"('كرفة', 'سب')",9.0
237,"('عور', 'سخرية')",6.0
238,"('زيرو', 'سخرية')",7.0
239,"('مبلع', 'سخرية')",5.0
